INPUT_SIZE, BRUTE_OPERATIONS, QUICK_OPERATIONS
10, 50.000000, 19.840000
111, 4795.200000, 353.120000
212, 22412.640000, 696.320000
313, 62762.760000, 1005.720000
414, 83031.840000, 1388.200000
515, 138349.600000, 2011.480000
615, 209788.800000, 2075.240000
716, 237683.360000, 2576.080000
817, 305819.440000, 2613.240000
918, 392132.880000, 2995.920000
1019, 445832.880000, 3444.560000
1120, 663801.600000, 3765.520000
1221, 866323.920000, 4105.960000
1322, 801978.080000, 4331.440000
1423, 1123430.040000, 4518.520000
1524, 1286682.720000, 5508.880000
1625, 1191840.000000, 5563.520000
1725, 1566162.000000, 5554.640000
1826, 1574231.120000, 6357.520000
1927, 1819396.320000, 6707.960000
2028, 2146597.440000, 6538.000000
2129, 1797301.800000, 6803.800000
2230, 2726576.400000, 7872.120000
2331, 2508342.480000, 7514.880000
2432, 3057996.800000, 8271.000000
2533, 3202421.240000, 9031.920000
2634, 3259206.240000, 8484.200000
2735, 4029420.800000, 9205.680000
2835, 4136832.000000, 9360.680000
2936, 4402825.600000, 10138.960000
3037, 4947515.960000, 8722.320000
3138, 4744781.520000, 9690.760000
3239, 5175533.320000, 11373.040000
3340, 5029372.000000, 10645.240000
3441, 5505049.440000, 11100.680000
3542, 5184779.600000, 11677.080000
3643, 7418459.480000, 12022.200000
3744, 7300800.000000, 13851.400000
3845, 6033420.200000, 14215.440000
3945, 7974738.600000, 13418.840000
4046, 9102852.640000, 13654.600000
4147, 7311161.000000, 14977.640000
4248, 9844145.280000, 14970.800000
4349, 9499781.640000, 15430.600000
4450, 9058242.000000, 14008.760000
4551, 10740360.000000, 16122.040000
4652, 12401487.680000, 17045.000000
4753, 10976768.320000, 14884.120000
4854, 11058576.960000, 14468.280000
4955, 14343932.200000, 16084.720000
5055, 15347182.200000, 15631.320000
5156, 13495314.400000, 16633.000000
5257, 15609504.960000, 17112.520000
5358, 15332667.120000, 17793.000000
5459, 14037709.320000, 18070.400000
5560, 14849648.000000, 19609.200000
5661, 16414635.600000, 19988.400000
5762, 16494762.160000, 20046.240000
5863, 18221734.960000, 20586.400000
5964, 16291978.080000, 20645.080000
6065, 19986358.400000, 22641.680000
6165, 17140919.400000, 20749.040000
6266, 21853802.880000, 21743.160000
6367, 21173331.160000, 25671.480000
6468, 19653664.800000, 23064.400000
6569, 24748050.600000, 21929.800000
6670, 21615335.600000, 25572.560000
6771, 19940865.840000, 24264.640000
6872, 20598132.800000, 23904.880000
6973, 26413166.160000, 23013.680000
7074, 27963804.960000, 26840.160000
7175, 26165216.000000, 22822.400000
7275, 26477508.000000, 25640.880000
7376, 28520336.640000, 22717.280000
7477, 27456441.240000, 27376.120000
7578, 24266877.840000, 26317.360000
7679, 25369265.880000, 25396.440000
7780, 30618656.800000, 26897.200000
7881, 31065641.040000, 26009.320000
7982, 31973018.480000, 26351.560000
8083, 36917000.920000, 26624.800000
8184, 31362724.800000, 27672.880000
8285, 35427322.800000, 27427.880000
8385, 34392586.800000, 29397.600000
8486, 34066198.400000, 29608.360000
8587, 34073902.960000, 28073.120000
8688, 35897425.920000, 30227.640000
8789, 37572271.880000, 31312.520000
8890, 36413084.400000, 30827.680000
8991, 43603832.520000, 31305.320000
9092, 47694449.920000, 32058.920000
9193, 39249697.360000, 31765.440000
9294, 49462296.240000, 35517.440000
9395, 40054643.000000, 32462.480000
9495, 49372860.600000, 31883.480000
9596, 47946989.760000, 34178.840000
9697, 48975280.320000, 32338.760000
9798, 35947686.240000, 33416.080000
9899, 48535588.920000, 31271.560000
10000, 61629200.000000, 33754.040000
