INPUT_SIZE, BRUTE_TIME, QUICK_TIME
10, 3539.780000, 1461.860000
111, 128531.720000, 8768.100000
212, 282096.740000, 13302.300000
313, 437906.680000, 13048.560000
414, 600201.940000, 19190.060000
515, 712394.060000, 24879.380000
615, 922107.140000, 26824.220000
716, 1636027.180000, 29474.800000
817, 2330540.280000, 32917.920000
918, 2445616.860000, 35537.180000
1019, 3604126.520000, 38039.880000
1120, 3799895.840000, 42755.840000
1221, 4542037.880000, 42021.640000
1322, 5779322.540000, 46365.500000
1423, 5756064.760000, 48115.040000
1524, 6722382.000000, 54383.160000
1625, 6604973.180000, 56921.860000
1725, 10152184.940000, 62621.880000
1826, 11917084.060000, 62688.980000
1927, 12213756.800000, 64209.400000
2028, 12818501.180000, 70967.680000
2129, 15341158.800000, 69947.680000
2230, 15310988.100000, 68502.660000
2331, 17279269.920000, 77953.240000
2432, 15227814.160000, 78155.820000
2533, 22345747.220000, 78108.420000
2634, 20151538.420000, 89032.800000
2735, 25395445.380000, 86259.520000
2835, 30514120.480000, 93870.020000
2936, 26904169.300000, 97032.200000
3037, 27460234.200000, 97465.140000
3138, 30129937.380000, 101323.680000
3239, 34466269.100000, 101413.560000
3340, 37137942.640000, 105958.220000
3441, 39981593.380000, 110737.300000
3542, 40509199.520000, 107646.880000
3643, 44795136.160000, 111909.400000
3744, 43848137.060000, 117603.240000
3845, 42435248.960000, 112677.340000
3945, 46949570.520000, 120710.300000
4046, 49502866.960000, 122672.600000
4147, 57168598.260000, 131258.820000
4248, 57340310.320000, 130970.560000
4349, 59565048.500000, 130867.140000
4450, 58267397.920000, 130333.740000
4551, 71423542.220000, 143224.300000
4652, 66401390.840000, 130771.800000
4753, 72201881.060000, 141477.260000
4854, 78113913.920000, 141353.780000
4955, 81866854.820000, 147679.960000
5055, 85755716.160000, 141240.760000
5156, 84134520.300000, 149774.820000
5257, 77869832.560000, 155891.280000
5358, 97197043.700000, 151167.940000
5459, 101437605.300000, 149025.320000
5560, 101707664.380000, 160835.280000
5661, 110452914.280000, 159067.440000
5762, 107644307.980000, 171013.040000
5863, 102756603.720000, 172022.560000
5964, 127581809.980000, 166033.820000
6065, 119123829.260000, 167123.380000
6165, 132618796.480000, 171722.580000
6266, 141264638.320000, 174009.160000
6367, 144432281.460000, 179147.020000
6468, 164369290.780000, 181948.120000
6569, 149528478.760000, 177637.720000
6670, 154876864.460000, 188514.840000
6771, 134168565.220000, 177600.780000
6872, 145431111.320000, 191326.160000
6973, 153874670.100000, 187411.320000
7074, 160776088.200000, 193617.960000
7175, 186875196.840000, 190503.980000
7275, 163899302.480000, 193821.800000
7376, 175217176.980000, 201199.640000
7477, 165661013.220000, 201624.840000
7578, 199403927.000000, 211586.420000
7679, 170728725.780000, 207179.560000
7780, 158830008.540000, 211421.160000
7881, 175597250.220000, 205953.520000
7982, 201416226.860000, 220331.020000
8083, 229987689.480000, 220029.480000
8184, 214495952.600000, 220625.580000
8285, 234979241.980000, 226201.620000
8385, 219000662.500000, 224437.640000
8486, 235773368.540000, 226663.380000
8587, 223515308.920000, 228053.980000
8688, 250336160.820000, 231891.360000
8789, 266288645.360000, 234085.240000
8890, 263585583.280000, 240623.200000
8991, 256357869.980000, 245660.040000
9092, 246616895.900000, 244656.500000
9193, 285189056.680000, 230051.340000
9294, 282649504.840000, 247920.360000
9395, 248924555.320000, 245391.900000
9495, 326834684.980000, 245629.700000
9596, 305444569.800000, 249769.340000
9697, 306835317.440000, 258632.660000
9798, 339036078.080000, 263112.080000
9899, 318889359.400000, 257888.460000
10000, 332843122.320000, 259446.380000
